GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US89010,89010,ZCTA5 89010,368,108,248,77,0,11,36,38,0,11,0,11,79,77,5,8,0,11,5,8
8600000US89019,89019,ZCTA5 89019,1843,634,1584,610,49,40,0,11,151,110,0,11,49,82,10,25,10,25,0,11
8600000US89060,89060,ZCTA5 89060,9831,886,8515,779,436,242,36,48,49,67,17,31,644,356,134,97,0,18,134,97
8600000US89061,89061,ZCTA5 89061,4938,612,3999,642,166,146,31,48,451,184,41,69,185,216,65,66,0,11,65,66
8600000US89439,89439,ZCTA5 89439,1563,210,1527,211,0,11,0,11,0,11,0,11,16,27,20,32,0,11,20,32
8600000US90001,90001,ZCTA5 90001,56314,1813,28097,1940,5330,534,463,439,83,47,0,29,21612,1926,729,227,462,197,267,131
8600000US90002,90002,ZCTA5 90002,50098,1993,24235,2034,12316,1048,205,138,151,70,49,44,12689,1443,453,167,198,102,255,141
8600000US90003,90003,ZCTA5 90003,66913,1801,14979,1500,16486,1255,511,234,242,217,29,42,33584,1833,1082,385,398,205,684,311
8600000US90004,90004,ZCTA5 90004,63547,1660,21951,1417,2271,375,286,170,16299,849,190,224,20702,1557,1848,410,600,188,1248,351
8600000US90005,90005,ZCTA5 90005,38638,1340,7554,828,1654,307,219,113,12876,896,8,12,15639,1177,688,223,155,91,533,203
8600000US90006,90006,ZCTA5 90006,61419,1676,11092,1073,1990,444,462,296,11096,832,283,233,35348,1461,1148,303,658,228,490,184
8600000US90007,90007,ZCTA5 90007,43779,1457,12602,845,4436,572,177,106,8188,770,143,148,17117,1081,1116,310,448,222,668,175
8600000US90008,90008,ZCTA5 90008,33012,1395,4010,849,22878,1373,97,79,1065,342,94,103,3677,750,1191,344,144,83,1047,340
8600000US90010,90010,ZCTA5 90010,3792,505,747,219,69,61,10,15,2793,457,0,12,154,77,19,22,6,9,13,20
8600000US90011,90011,ZCTA5 90011,102926,2667,30170,2305,8250,762,555,210,663,200,159,203,61890,2900,1239,332,734,254,505,190
8600000US90012,90012,ZCTA5 90012,30029,1344,8562,819,3534,441,144,91,13054,786,204,161,3776,749,755,189,284,142,471,133
8600000US90013,90013,ZCTA5 90013,10575,1226,3385,515,3453,952,110,84,1783,257,0,19,1164,402,680,221,143,83,537,207
8600000US90014,90014,ZCTA5 90014,6659,662,3298,503,1300,429,66,58,1122,190,33,53,534,201,306,165,155,138,151,85
8600000US90015,90015,ZCTA5 90015,18226,1057,5777,818,1164,335,217,178,2824,470,26,29,7915,918,303,125,120,71,183,102
8600000US90016,90016,ZCTA5 90016,47786,1585,13618,1394,18016,1027,464,246,1531,271,11,17,12496,1384,1650,389,718,286,932,254
8600000US90017,90017,ZCTA5 90017,23719,1116,7251,689,1204,233,311,204,3424,417,149,204,10795,1151,585,318,534,320,51,33
8600000US90018,90018,ZCTA5 90018,48852,1601,9921,1286,15701,1229,757,456,1652,373,0,26,19251,1476,1570,442,839,369,731,264
8600000US90019,90019,ZCTA5 90019,67606,1982,25153,1483,14410,1179,605,354,10155,957,78,79,14979,1485,2226,404,560,174,1666,388
8600000US90020,90020,ZCTA5 90020,39102,1364,9763,1094,2048,414,118,108,17803,983,138,186,8408,997,824,280,260,169,564,196
8600000US90021,90021,ZCTA5 90021,2913,642,1112,300,735,300,30,49,136,88,0,12,766,293,134,111,66,93,68,58
8600000US90022,90022,ZCTA5 90022,69516,2221,47859,2349,335,144,317,175,634,207,13,18,19255,1722,1103,330,783,271,320,147
8600000US90023,90023,ZCTA5 90023,45886,1588,23679,1676,527,327,297,188,453,145,0,26,19970,1543,960,353,540,278,420,250
8600000US90024,90024,ZCTA5 90024,50117,2983,30419,1516,1418,399,109,94,13876,1869,44,42,1891,487,2360,388,282,137,2078,373
8600000US90025,90025,ZCTA5 90025,45284,1430,28250,1253,873,276,570,556,9706,908,166,239,3687,1246,2032,392,169,101,1863,383
8600000US90026,90026,ZCTA5 90026,67986,1728,44464,1875,2077,405,319,134,11224,805,63,48,8034,1107,1805,366,615,292,1190,289
8600000US90027,90027,ZCTA5 90027,46025,1457,30595,1312,1272,237,185,160,6417,717,34,42,5583,794,1939,442,546,199,1393,389
8600000US90028,90028,ZCTA5 90028,29994,1214,17966,1076,1965,449,284,176,2283,439,70,71,6360,926,1066,252,324,161,742,194
8600000US90029,90029,ZCTA5 90029,40161,1245,17533,1113,1220,330,129,97,6306,669,0,26,13647,1492,1326,324,517,246,809,254
8600000US90031,90031,ZCTA5 90031,39333,1267,14751,1257,543,212,242,138,10222,677,106,120,12459,1383,1010,325,517,233,493,235
