GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
8600000US89010,89010,ZCTA5 89010,368,108,256,78,0,11,0,11,53,41,59,58
8600000US89019,89019,ZCTA5 89019,1843,634,1202,421,0,11,192,286,283,208,166,78
8600000US89060,89060,ZCTA5 89060,9831,886,8887,787,39,58,70,88,313,165,522,232
8600000US89061,89061,ZCTA5 89061,4938,612,4240,626,0,11,72,82,476,200,150,111
8600000US89439,89439,ZCTA5 89439,1563,210,1525,210,0,11,0,11,19,31,19,30
8600000US90001,90001,ZCTA5 90001,56314,1813,31725,1209,33,37,279,136,6379,467,17898,902
8600000US90002,90002,ZCTA5 90002,50098,1993,32900,1474,64,51,162,84,4271,447,12701,1085
8600000US90003,90003,ZCTA5 90003,66913,1801,41211,1495,29,26,205,84,6093,507,19375,1120
8600000US90004,90004,ZCTA5 90004,63547,1660,29010,1365,54,56,449,122,12864,718,21170,1130
8600000US90005,90005,ZCTA5 90005,38638,1340,14669,782,37,36,213,98,6857,483,16862,1189
8600000US90006,90006,ZCTA5 90006,61419,1676,23156,1181,146,93,233,96,10350,707,27534,1327
8600000US90007,90007,ZCTA5 90007,43779,1457,23995,1120,67,46,305,113,4832,467,14580,1026
8600000US90008,90008,ZCTA5 90008,33012,1395,26645,1287,83,83,265,127,2180,339,3839,732
8600000US90010,90010,ZCTA5 90010,3792,505,1170,228,11,18,12,17,1231,274,1368,360
8600000US90011,90011,ZCTA5 90011,102926,2667,52721,1760,183,107,241,94,8886,685,40895,1611
8600000US90012,90012,ZCTA5 90012,30029,1344,15897,1022,85,58,255,115,6391,440,7401,625
8600000US90013,90013,ZCTA5 90013,10575,1226,7981,1007,69,73,77,61,1194,247,1254,360
8600000US90014,90014,ZCTA5 90014,6659,662,4919,652,0,17,55,53,947,165,738,223
8600000US90015,90015,ZCTA5 90015,18226,1057,8967,737,21,30,221,106,2799,320,6218,672
8600000US90016,90016,ZCTA5 90016,47786,1585,32063,1077,13,15,183,74,6577,575,8950,945
8600000US90017,90017,ZCTA5 90017,23719,1116,10387,753,130,202,136,50,2601,356,10465,823
8600000US90018,90018,ZCTA5 90018,48852,1601,29319,1377,30,31,352,127,6555,548,12596,982
8600000US90019,90019,ZCTA5 90019,67606,1982,38793,1598,241,133,365,186,10728,897,17479,1146
8600000US90020,90020,ZCTA5 90020,39102,1364,14433,927,115,75,280,118,7415,691,16859,1060
8600000US90021,90021,ZCTA5 90021,2913,642,1814,450,46,68,24,21,135,77,894,258
8600000US90022,90022,ZCTA5 90022,69516,2221,39518,1443,42,28,395,156,9508,732,20053,1307
8600000US90023,90023,ZCTA5 90023,45886,1588,24562,1209,46,38,266,85,5375,520,15637,1115
8600000US90024,90024,ZCTA5 90024,50117,2983,36284,2693,53,47,631,221,6722,662,6427,815
8600000US90025,90025,ZCTA5 90025,45284,1430,27760,1295,102,82,645,190,8566,933,8211,990
8600000US90026,90026,ZCTA5 90026,67986,1728,37681,1353,80,53,486,117,12128,659,17611,1125
8600000US90027,90027,ZCTA5 90027,46025,1457,26865,1196,124,124,443,122,11003,777,7590,713
8600000US90028,90028,ZCTA5 90028,29994,1214,18069,1007,53,59,317,136,5069,473,6486,801
8600000US90029,90029,ZCTA5 90029,40161,1245,17203,912,15,34,273,100,8655,624,14015,919
8600000US90031,90031,ZCTA5 90031,39333,1267,19172,1061,37,33,422,146,8937,591,10765,809
8600000US90032,90032,ZCTA5 90032,47309,1520,29038,1255,37,31,220,91,8616,563,9398,761
8600000US90033,90033,ZCTA5 90033,48567,1626,24911,1185,58,45,340,154,7322,605,15936,994
8600000US90034,90034,ZCTA5 90034,58968,1578,36973,1226,85,65,905,222,9002,801,12003,993
8600000US90035,90035,ZCTA5 90035,31399,1154,22718,1048,17,28,609,188,5321,565,2734,522
8600000US90036,90036,ZCTA5 90036,36425,1054,25099,981,7,11,670,239,5429,559,5220,711
8600000US90037,90037,ZCTA5 90037,61536,1815,33559,1423,41,39,112,65,6760,664,21064,1067
8600000US90038,90038,ZCTA5 90038,28798,1220,14597,979,154,116,180,90,4718,512,9149,699
8600000US90039,90039,ZCTA5 90039,27843,1000,18395,918,43,32,362,155,5741,409,3302,487
8600000US90040,90040,ZCTA5 90040,12830,464,8198,511,36,39,70,41,2327,315,2199,373
8600000US90041,90041,ZCTA5 90041,28439,985,17610,774,46,33,357,143,6309,584,4117,649
8600000US90042,90042,ZCTA5 90042,61034,1539,36609,1340,80,63,525,141,11758,727,12062,1010
8600000US90043,90043,ZCTA5 90043,43118,1557,34220,1505,90,84,124,70,3403,505,5281,794
8600000US90044,90044,ZCTA5 90044,88412,2496,58456,2047,51,37,261,101,7664,628,21980,1298
8600000US90045,90045,ZCTA5 90045,41453,1420,33309,1343,66,58,557,193,4570,551,2951,469
8600000US90046,90046,ZCTA5 90046,51329,1370,35043,1353,100,72,589,194,10116,820,5481,715
8600000US90047,90047,ZCTA5 90047,46999,1769,38064,1518,19,24,390,155,3600,512,4926,656
8600000US90048,90048,ZCTA5 90048,22409,1031,15650,1073,9,13,409,146,4419,506,1922,302
8600000US90049,90049,ZCTA5 90049,35262,1001,26562,930,51,50,418,151,5874,483,2357,437
8600000US90056,90056,ZCTA5 90056,8380,696,7511,683,34,51,55,66,643,241,137,94
8600000US90057,90057,ZCTA5 90057,45747,1704,17344,1058,99,78,228,114,6701,555,21375,1165
8600000US90058,90058,ZCTA5 90058,2748,481,1550,342,0,12,12,19,151,69,1035,257
8600000US90059,90059,ZCTA5 90059,42470,2002,29768,1827,13,15,257,151,3144,406,9288,980
8600000US90061,90061,ZCTA5 90061,28641,1453,19863,1123,0,23,90,63,2111,365,6577,702
8600000US90062,90062,ZCTA5 90062,32675,1763,20517,1411,48,46,98,72,3932,482,8080,749
8600000US90063,90063,ZCTA5 90063,54353,1855,30249,1225,36,32,440,150,8033,557,15595,1225
8600000US90064,90064,ZCTA5 90064,25788,998,18677,943,0,23,196,91,4207,511,2708,476
8600000US90065,90065,ZCTA5 90065,46254,1485,26679,1110,138,105,484,140,9380,715,9573,802
8600000US90066,90066,ZCTA5 90066,58337,1300,41401,1237,118,86,958,179,7446,681,8414,843
8600000US90067,90067,ZCTA5 90067,2364,376,1730,308,12,19,18,29,449,213,155,91
8600000US90068,90068,ZCTA5 90068,21943,958,17220,886,34,44,402,188,2589,404,1698,374
8600000US90069,90069,ZCTA5 90069,20426,997,15844,927,118,136,257,129,2442,380,1765,334
8600000US90071,90071,ZCTA5 90071,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90073,90073,ZCTA5 90073,801,300,686,294,2,4,4,8,35,36,74,93
8600000US90077,90077,ZCTA5 90077,8328,675,6365,551,0,17,158,80,1456,281,349,129
8600000US90079,90079,ZCTA5 90079,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90089,90089,ZCTA5 90089,3326,1082,2665,974,17,22,14,18,120,65,510,185
8600000US90090,90090,ZCTA5 90090,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90094,90094,ZCTA5 90094,6062,610,4806,603,0,17,65,61,528,227,663,247
8600000US90095,90095,ZCTA5 90095,0,12,0,12,0,12,0,12,0,12,0,12
