GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 to 64 years,Total; Margin of Error; Population 16 to 64 years,Male; Estimate; Population 16 to 64 years,Male; Margin of Error; Population 16 to 64 years,Female; Estimate; Population 16 to 64 years,Female; Margin of Error; Population 16 to 64 years,Total; Estimate; WEEKS WORKED - Worked 50 to 52 weeks,Total; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks,Male; Estimate; WEEKS WORKED - Worked 50 to 52 weeks,Male; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks,Female; Estimate; WEEKS WORKED - Worked 50 to 52 weeks,Female; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks,Total; Estimate; WEEKS WORKED - Worked 40 to 49 weeks,Total; Margin of Error; WEEKS WORKED - Worked 40 to 49 weeks,Male; Estimate; WEEKS WORKED - Worked 40 to 49 weeks,Male; Margin of Error; WEEKS WORKED - Worked 40 to 49 weeks,Female; Estimate; WEEKS WORKED - Worked 40 to 49 weeks,Female; Margin of Error; WEEKS WORKED - Worked 40 to 49 weeks,Total; Estimate; WEEKS WORKED - Worked 27 to 39 weeks,Total; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks,Male; Estimate; WEEKS WORKED - Worked 27 to 39 weeks,Male; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks,Female; Estimate; WEEKS WORKED - Worked 27 to 39 weeks,Female; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks,Total; Estimate; WEEKS WORKED - Worked 14 to 26 weeks,Total; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks,Male; Estimate; WEEKS WORKED - Worked 14 to 26 weeks,Male; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks,Female; Estimate; WEEKS WORKED - Worked 14 to 26 weeks,Female; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks,Total; Estimate; WEEKS WORKED - Worked 1 to 13 weeks,Total; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks,Male; Estimate; WEEKS WORKED - Worked 1 to 13 weeks,Male; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks,Female; Estimate; WEEKS WORKED - Worked 1 to 13 weeks,Female; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks,Total; Estimate; WEEKS WORKED - Did not work,Total; Margin of Error; WEEKS WORKED - Did not work,Male; Estimate; WEEKS WORKED - Did not work,Male; Margin of Error; WEEKS WORKED - Did not work,Female; Estimate; WEEKS WORKED - Did not work,Female; Margin of Error; WEEKS WORKED - Did not work,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Male; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Female; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Total; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Male; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Female; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Total; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Total; Estimate; USUAL HOURS WORKED - Did not work,Total; Margin of Error; USUAL HOURS WORKED - Did not work,Male; Estimate; USUAL HOURS WORKED - Did not work,Male; Margin of Error; USUAL HOURS WORKED - Did not work,Female; Estimate; USUAL HOURS WORKED - Did not work,Female; Margin of Error; USUAL HOURS WORKED - Did not work,Total; Estimate; Mean usual hours worked for workers,Total; Margin of Error; Mean usual hours worked for workers,Male; Estimate; Mean usual hours worked for workers,Male; Margin of Error; Mean usual hours worked for workers,Female; Estimate; Mean usual hours worked for workers,Female; Margin of Error; Mean usual hours worked for workers,Total; Estimate; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Total; Margin of Error; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Male; Estimate; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Male; Margin of Error; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Female; Estimate; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Female; Margin of Error; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Total; Estimate; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Total; Margin of Error; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Male; Estimate; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Male; Margin of Error; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Female; Estimate; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Female; Margin of Error; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Total; Estimate; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Total; Margin of Error; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Male; Estimate; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Male; Margin of Error; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Female; Estimate; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Female; Margin of Error; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over
8600000US89010,89010,ZCTA5 89010,225,81,105,44,120,48,59.6,11.9,69.5,14.6,50.8,19.4,0.0,12.5,0.0,24.5,0.0,21.9,0.0,12.5,0.0,24.5,0.0,21.9,1.8,2.8,3.8,6.0,0.0,21.9,8.4,8.2,12.4,12.2,5.0,7.4,30.2,10.5,14.3,10.2,44.2,18.4,54.2,13.0,73.3,14.8,37.5,19.4,49.8,13.7,69.5,14.6,32.5,20.6,49.8,13.7,69.5,14.6,32.5,20.6,10.7,8.6,5.7,7.5,15.0,14.0,8.0,7.9,0.0,24.5,15.0,14.0,8.0,7.9,0.0,24.5,15.0,14.0,4.9,5.6,6.7,11.0,3.3,5.0,1.8,2.5,0.0,24.5,3.3,5.0,1.8,2.5,0.0,24.5,3.3,5.0,30.2,10.5,14.3,10.2,44.2,18.4,37.3,3.4,40.2,5.0,33.5,3.7,1.6,(X),(X),(X),(X),(X),0.0,(X),(X),(X),(X),(X),0.0,(X),(X),(X),(X),(X)
8600000US89019,89019,ZCTA5 89019,1214,559,670,333,544,251,54.8,12.6,54.3,27.4,55.3,27.9,0.0,2.4,0.0,4.4,0.0,5.4,1.7,2.1,2.5,2.9,0.7,1.5,1.2,1.9,0.0,4.4,2.6,4.2,0.4,0.7,0.7,1.3,0.0,5.4,41.9,13.0,42.4,28.0,41.4,27.1,38.6,17.3,50.3,25.0,24.3,17.8,37.6,17.0,49.0,24.8,23.5,17.6,37.6,17.0,49.0,24.8,23.5,17.6,7.9,7.4,7.3,9.2,8.6,13.1,6.8,7.2,5.4,8.4,8.6,13.1,6.8,7.2,5.4,8.4,8.6,13.1,11.5,12.9,0.0,4.4,25.7,29.9,10.4,13.3,0.0,4.4,23.2,30.7,10.4,13.3,0.0,4.4,23.2,30.7,41.9,13.0,42.4,28.0,41.4,27.1,32.8,6.2,38.9,1.6,25.4,9.8,5.8,(X),(X),(X),(X),(X),12.4,(X),(X),(X),(X),(X),9.0,(X),(X),(X),(X),(X)
8600000US89060,89060,ZCTA5 89060,5558,588,2689,327,2869,364,43.6,5.4,51.7,8.3,35.9,7.1,1.5,1.0,0.6,1.0,2.3,1.8,5.9,2.6,5.2,3.6,6.6,3.6,8.1,3.7,8.6,4.3,7.6,5.0,6.2,2.5,7.5,4.3,4.9,3.1,34.8,4.9,26.4,6.6,42.7,8.5,45.0,6.2,50.1,7.7,40.2,7.4,35.3,6.0,39.8,8.2,31.1,6.4,34.2,5.8,39.2,8.2,29.5,6.2,16.0,4.2,21.7,6.7,10.8,5.4,8.1,2.7,11.9,5.3,4.5,3.0,8.0,2.7,11.9,5.3,4.3,3.0,4.2,2.4,1.8,1.9,6.4,4.4,1.7,1.8,0.7,1.1,2.6,3.4,1.4,1.6,0.7,1.1,2.2,3.0,34.8,4.9,26.4,6.6,42.7,8.5,36.2,1.9,37.7,2.6,34.4,2.6,7.9,(X),(X),(X),(X),(X),11.2,(X),(X),(X),(X),(X),9.6,(X),(X),(X),(X),(X)
8600000US89061,89061,ZCTA5 89061,2701,451,1223,267,1478,250,40.9,7.1,46.7,9.7,36.1,9.8,2.8,2.0,3.4,3.3,2.3,2.3,3.1,3.5,5.8,7.4,0.9,1.4,6.7,3.3,4.5,3.6,8.5,5.2,8.1,4.1,5.4,4.2,10.4,7.2,38.4,6.4,34.2,10.3,41.9,8.6,46.5,6.4,56.3,11.1,38.4,10.5,37.6,6.8,46.0,9.5,30.6,9.6,35.7,7.2,43.8,9.9,29.0,9.9,10.9,4.6,7.4,6.7,13.8,7.3,5.3,3.1,4.1,5.1,6.3,4.3,4.4,2.5,2.9,3.3,5.7,4.1,4.2,3.4,2.1,2.6,5.9,5.6,0.8,1.2,0.0,2.4,1.4,2.2,0.8,1.2,0.0,2.4,1.4,2.2,38.4,6.4,34.2,10.3,41.9,8.6,41.8,4.0,49.5,7.1,34.5,3.1,6.6,(X),(X),(X),(X),(X),15.0,(X),(X),(X),(X),(X),8.4,(X),(X),(X),(X),(X)
8600000US89439,89439,ZCTA5 89439,1205,235,613,145,592,122,51.6,12.8,55.1,17.5,48.0,18.4,5.2,6.1,2.9,5.0,7.6,11.6,7.6,6.1,13.2,12.1,1.9,2.0,3.9,5.8,7.7,11.5,0.0,4.9,4.8,4.3,0.0,4.8,9.8,8.6,26.8,10.0,21.0,11.8,32.8,17.1,60.4,9.2,76.2,10.8,44.1,16.2,48.9,10.8,55.3,16.3,42.2,16.1,43.7,9.0,52.4,16.1,34.6,15.1,9.5,7.7,0.0,4.8,19.4,15.9,6.6,7.0,0.0,4.8,13.3,14.2,6.6,7.0,0.0,4.8,13.3,14.2,3.2,3.6,2.8,4.4,3.7,5.6,1.4,2.2,2.8,4.4,0.0,4.9,1.4,2.2,2.8,4.4,0.0,4.9,26.8,10.0,21.0,11.8,32.8,17.1,41.5,3.7,46.1,4.6,35.9,4.9,1.6,(X),(X),(X),(X),(X),3.5,(X),(X),(X),(X),(X),2.3,(X),(X),(X),(X),(X)
8600000US90001,90001,ZCTA5 90001,36369,1366,18188,864,18181,787,47.3,1.7,59.2,2.5,35.4,2.0,3.7,0.7,4.1,1.0,3.4,0.8,4.3,0.6,4.7,0.9,4.0,0.9,4.0,0.6,4.1,1.0,3.9,0.9,4.0,0.8,4.8,1.2,3.3,0.9,36.6,1.5,23.2,1.6,49.9,2.3,48.6,1.7,63.2,2.1,34.1,1.9,41.9,1.7,55.5,2.2,28.4,1.9,39.4,1.8,52.2,2.5,26.5,1.8,12.7,1.2,11.7,1.3,13.6,2.1,8.0,0.9,7.0,1.2,9.0,1.5,7.0,0.8,6.2,1.1,7.8,1.2,2.1,0.5,1.9,0.6,2.4,0.6,1.1,0.3,0.8,0.4,1.4,0.5,0.9,0.3,0.8,0.4,1.1,0.4,36.6,1.5,23.2,1.6,49.9,2.3,37.0,0.4,38.3,0.5,35.0,0.8,8.7,(X),(X),(X),(X),(X),17.3,(X),(X),(X),(X),(X),16.0,(X),(X),(X),(X),(X)
8600000US90002,90002,ZCTA5 90002,31696,1450,15522,913,16174,741,42.6,1.7,52.2,2.5,33.3,2.2,3.8,0.7,4.1,1.1,3.6,0.8,3.5,0.7,3.4,1.0,3.6,0.8,3.0,0.6,2.4,0.8,3.5,0.9,5.6,0.9,5.4,1.2,5.8,1.3,41.5,1.8,32.5,2.6,50.1,2.2,42.6,2.0,53.2,2.6,32.4,2.5,36.8,1.8,47.8,2.4,26.3,2.2,34.5,1.8,45.1,2.5,24.3,2.2,12.9,1.2,10.8,1.6,14.9,1.9,7.8,0.9,6.2,1.2,9.3,1.5,6.5,0.8,5.1,1.1,7.9,1.3,3.0,0.6,3.5,0.9,2.5,0.6,1.8,0.5,2.2,0.8,1.4,0.6,1.6,0.5,2.0,0.8,1.2,0.5,41.5,1.8,32.5,2.6,50.1,2.2,36.0,0.5,37.4,0.7,34.2,0.7,11.4,(X),(X),(X),(X),(X),19.5,(X),(X),(X),(X),(X),16.4,(X),(X),(X),(X),(X)
8600000US90003,90003,ZCTA5 90003,42832,1274,20672,780,22160,858,43.3,1.5,52.6,2.3,34.6,2.0,4.3,0.6,4.8,0.9,3.8,0.7,4.5,0.7,5.4,1.0,3.7,0.8,3.5,0.5,4.2,0.9,2.8,0.7,4.3,0.6,4.6,0.8,4.0,0.7,40.2,1.5,28.5,2.2,51.1,1.9,43.9,1.5,56.6,2.3,32.1,1.9,37.8,1.5,48.4,2.5,27.8,1.8,35.0,1.4,45.0,2.3,25.7,1.7,13.2,1.0,12.5,1.5,13.8,1.5,8.5,0.9,7.6,1.1,9.4,1.4,7.1,0.8,6.3,1.0,7.8,1.3,2.7,0.4,2.4,0.6,3.1,0.6,1.3,0.3,1.4,0.5,1.2,0.5,1.2,0.3,1.3,0.5,1.1,0.4,40.2,1.5,28.5,2.2,51.1,1.9,36.4,0.4,38.1,0.5,34.2,0.5,6.9,(X),(X),(X),(X),(X),15.0,(X),(X),(X),(X),(X),12.0,(X),(X),(X),(X),(X)
8600000US90004,90004,ZCTA5 90004,46140,1347,23582,853,22558,893,55.8,1.8,60.9,2.7,50.5,2.3,4.9,0.7,5.0,0.9,4.7,0.9,4.5,0.6,4.8,0.9,4.2,0.7,3.7,0.6,4.1,1.0,3.2,0.8,4.4,0.6,4.6,0.9,4.2,0.8,26.8,1.7,20.6,2.3,33.2,2.1,53.9,1.6,62.5,2.2,45.0,2.0,47.7,1.7,55.4,2.5,39.6,2.0,44.7,1.7,52.0,2.5,37.1,2.0,16.1,1.1,13.9,1.5,18.4,1.4,11.4,1.0,9.0,1.3,13.9,1.3,9.8,0.9,7.6,1.2,12.1,1.3,3.2,0.6,3.0,0.8,3.4,0.8,1.6,0.4,1.5,0.6,1.6,0.5,1.3,0.4,1.3,0.6,1.4,0.5,26.8,1.7,20.6,2.3,33.2,2.1,37.1,0.4,38.2,0.5,35.6,0.6,7.0,(X),(X),(X),(X),(X),11.1,(X),(X),(X),(X),(X),9.1,(X),(X),(X),(X),(X)
